order,ncr_id,source_dataset,map_status,combined_into,entity_name,rendered_shortest,current_shortest,current_short,current_normal,tier,shortest_type,shortest_source,shortest_source_url,acronym,acronym_source,area_aliases,parent_org,region,roles,org_type,weight,issues,collision_ids,nearby_collision_ids
"15","NCR05456","geocoded","combined_member","NCR10347","Wellhead Power Panoche, LLC",,"Wellhead Panoche","Wellhead Power Panoche","Wellhead Power Panoche, LLC","normal",,,,"Wellhead Panoche","name_initialism","[]",,"WECC","[""GO""]",,"2","[""over_15_characters""]","[]","[]"
"16","NCR05457","geocoded","combined_member","NCR10347","Wellhead Services, Inc",,"Wellhead Services","Wellhead Services","Wellhead Services, Inc","normal",,,,"Wellhead Services","name_initialism","[]",,"WECC","[""GOP""]",,"2","[""over_15_characters""]","[]","[]"
"17","SUP-seattle-city-light","supplemental","source_only",,"Seattle City Light",,"Seattle City Light","","Seattle City Light","normal",,,,"Seattle City Light",,"[]",,,"[""DP""]","IOU","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"18","NCR00024","geocoded","published",,"Florida Power & Light Co.","FPL","FPL","Florida Power & Light","Florida Power & Light Co.","major",,,,"FPL","common_market_name","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"49","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-027""]","[""NCR-SEED-027""]"
"19","NCR01151","geocoded","published",,"Tennessee Valley Authority","TVA","TVA","Tennessee Valley Authority","Tennessee Valley Authority","major",,,,"TVA","official_website","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"49","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-025""]","[""NCR-SEED-025""]"
"20","NCR07124","geocoded","published",,"ISO-NE","ISO-NE","ISO-NE","ISO New England","ISO-NE","major",,,,"ISO-NE","common_market_name","[]",,"NPCC","[""BA"",""PC"",""RC"",""RP"",""TOP"",""TP"",""TSP""]","ISO_RTO","42","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-005""]","[""NCR-SEED-005""]"
"21","NCR07160","geocoded","published",,"New York Independent System Operator","NYISO","NYISO","New York ISO","New York Independent System Operator","major",,,,"NYISO","official_website","[]",,"NPCC","[""BA"",""PC"",""RC"",""RP"",""TOP"",""TP"",""TSP""]","other","42","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-006""]","[""NCR-SEED-006""]"
"22","NCR00879","geocoded","published",,"PJM Interconnection, LLC","PJM","PJM","PJM Interconnection","PJM Interconnection, LLC","major",,,,"PJM","common_market_name","[]",,"RF","[""BA"",""PC"",""RC"",""RP"",""TOP"",""TP"",""TSP""]",,"42","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-001""]","[""NCR-SEED-001""]"
"23","NCR01320","geocoded","published",,"Southern Company Services, Inc. - Trans","SCS","SCS","Southern Company Services - Trans","Southern Company Services - Trans","major",,,,"SCS-Trans","name_initialism","[]",,"SERC","[""BA"",""PC"",""RC"",""TOP"",""TP"",""TSP""]",,"40","[""duplicate_label"",""nearby_label_collision""]","[""NCR01319""]","[""NCR01319""]"
"24","NCR05016","geocoded","published",,"Arizona Public Service Company","APS","APS","Arizona Public Service","Arizona Public Service Company","major",,,,"APS","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-011""]","[""NCR-SEED-011""]"
"25","NCR01177","geocoded","published",,"Associated Electric Cooperative, Inc.","AECI","AECI","Associated Electric Cooperative","Associated Electric Cooperative, Inc.","major",,,,"AECI","official_website","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-026""]","[""NCR-SEED-026""]"
"26","NCR01219","geocoded","published",,"Duke Energy Carolinas, LLC","DEC","DEC","Duke Energy Carolinas","Duke Energy Carolinas, LLC","major",,,,"DEC","common_market_name","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-020""]","[""NCR-SEED-020""]"
"27","NCR00063","geocoded","published",,"Duke Energy Florida, LLC","Duke","Duke","Duke Energy Florida","Duke Energy Florida, LLC","major",,,,"DEF","common_market_name","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-028"",""NCR00761""]","[""NCR-SEED-028""]"
"28","NCR01298","geocoded","published",,"Duke Energy Progress, LLC","DEP","DEP","Duke Energy Progress","Duke Energy Progress, LLC","major",,,,"DEP","common_market_name","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-021""]","[""NCR-SEED-021""]"
"29","NCR05140","geocoded","published",,"El Paso Electric Company","EPE","EPE","El Paso Electric","El Paso Electric Company","major",,,,"EPE","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-019""]","[""NCR-SEED-019""]"
"30","NCR05191","geocoded","published",,"Idaho Power Company","Idaho","Idaho","Idaho Power","Idaho Power Company","major",,,,"IPCO","name_initialism","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-014""]","[""NCR-SEED-014""]"
"31","NCR00040","geocoded","published",,"JEA","JEA","JEA","JEA","JEA","major",,,,"JEA","official_website","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-030""]","[""NCR-SEED-030""]"
"32","NCR05282","geocoded","published",,"NorthWestern Corporation","NWE","NWE","NorthWestern Energy","NorthWestern Energy","major",,,,"NorthWestern","official_website","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR01021""]","[""NCR01021""]"
"33","NCR05304","geocoded","published",,"PacifiCorp","PAC","PacifiCorp","PacifiCorp","PacifiCorp","major",,,,"PacifiCorp","official_website","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-015""]","[""NCR-SEED-015""]"
"34","NCR05325","geocoded","published",,"Portland General Electric Company","PGE","PGE","Portland General Electric","Portland General Electric Company","major",,,,"PGE","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-017""]","[""NCR-SEED-017""]"
"35","NCR05521","geocoded","published",,"Public Service Company of Colorado","PSCo","PSCo","Public Service of Colorado","Public Service Company of Colorado","major",,,,"PSCo","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-012""]","[""NCR-SEED-012""]"
"36","NCR05333","geocoded","published",,"Public Service Company of New Mexico","PNM","PNM","Public Service of New Mexico","Public Service Company of New Mexico","major",,,,"PNM","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-018""]","[""NCR-SEED-018""]"
"37","NCR05344","geocoded","published",,"Puget Sound Energy, Inc.","PSE","PSE","Puget Sound Energy","Puget Sound Energy, Inc.","major",,,,"PSE","common_market_name","[]",,"WECC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-016""]","[""NCR-SEED-016""]"
"38","NCR00074","geocoded","published",,"Tampa Electric Company","TECO","TECO","Tampa Electric","Tampa Electric Company","major",,,,"TECO","common_market_name","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"39","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-029""]","[""NCR-SEED-029""]"
"39","NCR04056","geocoded","published",,"Electric Reliability Council of Texas, Inc.","ERCOT","ERCOT","Electric Reliability Council of Texas","Electric Reliability Council of Texas, Inc.","major",,,,"ERCOT","common_market_name","[]",,"Texas RE","[""BA"",""PC"",""RC"",""RP"",""TOP"",""TSP""]",,"38","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-007""]","[""NCR-SEED-007""]"
"40","NCR00826","geocoded","published",,"Midcontinent Independent System Operator, Inc.","MISO","MISO","Midcontinent ISO","Midcontinent Independent System Operator, Inc.","major",,,,"MISO","common_market_name","[]",,"MRO","[""BA"",""PC"",""RC"",""RP"",""TP"",""TSP""]","ISO_RTO","36","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-002""]","[""NCR-SEED-002""]"
"41","NCR05048","geocoded","published",,"California Independent System Operator","CAISO","CAISO","California ISO","California Independent System Operator","major",,,,"CAISO","common_market_name","[]",,"WECC","[""BA"",""PC"",""RC"",""TOP"",""TSP""]",,"36","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-003""]","[""NCR-SEED-003""]"
"42","NCR05032","geocoded","published",,"Bonneville Power Administration","BPA","BPA","Bonneville Power Administration","Bonneville Power Administration","major",,,,"BPA","common_market_name","[]",,"WECC","[""BA"",""PC"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"34","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-054""]","[""NCR-SEED-054""]"
"43","NCR01143","geocoded","published",,"Southwest Power Pool, Inc.","SPP","SPP","Southwest Power Pool","Southwest Power Pool","major",,,,"SPP","common_market_name","[]",,"MRO","[""BA"",""PC"",""RC"",""RSG"",""TSP""]","ISO_RTO","33","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-004""]","[""NCR-SEED-004""]"
"44","NCR-SEED-048","geocoded","published",,"Evergy Kansas Central, Inc.","Evergy","Evergy","Evergy Kansas Central","Evergy Kansas Central, Inc.","major",,,,"Evergy","common_market_name","[]",,"MRO","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","28","[""duplicate_label"",""nearby_label_collision""]","[""NCR00658""]","[""NCR00658""]"
"45","NCR01083","geocoded","published",,"Cleco Corporate Holdings LLC","Cleco","Cleco","Cleco","Cleco","normal",,,,"Cleco","official_website","[]",,"SERC","[""BA"",""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]",,"27","[""duplicate_label"",""nearby_label_collision""]","[""NCR13099""]","[""NCR13099""]"
"46","NCR00992","geocoded","published",,"Great River Energy","GRE","GRE","Great River Energy","Great River Energy","major",,,,"GRE","official_website","[]",,"MRO","[""BA"",""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","cooperative","27","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-044""]","[""NCR-SEED-044""]"
"47","NCR01020","geocoded","published",,"Northern States Power (Xcel Energy)","NSP","NSP","Xcel Energy","Xcel Energy","major",,,,"NSP","sec_filing","[]",,"MRO","[""BA"",""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","IOU","27","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-042""]","[""NCR-SEED-042""]"
"48","NCR05023","geocoded","published",,"Basin Electric Power Cooperative","Basin","Basin","Basin Electric","Basin Electric Power Cooperative","major",,,,"Basin Electric","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TP"",""TSP""]",,"25","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-043"",""NCR00102""]","[""NCR-SEED-043"",""NCR00102""]"
"49","NCR05368","geocoded","published",,"Sacramento Municipal Utility District","SMUD","SMUD","Sacramento Municipal Utility District","SMUD","major",,,,"SMUD","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP"",""TSP""]",,"24","[""duplicate_label"",""nearby_label_collision""]","[""SUP-sacramento-municipal-utility-district""]","[""SUP-sacramento-municipal-utility-district""]"
"50","NCR01175","geocoded","published",,"Ameren Services Company","Ameren","Ameren","Ameren","Ameren","major",,,,"Ameren","official_website","[]",,"SERC","[""BA"",""DP"",""RP"",""TO"",""TOP"",""TP""]",,"23","[""duplicate_label"",""nearby_label_collision""]","[""NCR10248""]","[""NCR10248""]"
"51","NCR01234","geocoded","published",,"Entergy","Entergy","Entergy","Entergy","Entergy","major",,,,"Entergy","common_market_name","[]",,"SERC","[""BA"",""DP"",""RP"",""TO"",""TOP"",""TP""]",,"23","[""duplicate_label"",""nearby_label_collision""]","[""NCR11166"",""NCR11167"",""NCR12526""]","[""NCR11167"",""NCR12526""]"
"52","NCR00682","geocoded","published",,"American Electric Power Service Corporation as agent for Appalachian Power Company, Indiana Michigan Power Company, Kentucky Power Company, Kingsport Power Company, Ohio Power Company, Wheeling Power Company, AEP Ohio Transmission Company, AEP Appalachian Transmission Company, AEP West Virginia Transmission Company, AEP Indiana Michigan Transmission Company and AEP Kentucky Transmission Company, Inc.","AEP","AEP","AEP Service Corp","AEP Service Corporation","major",,,,"AEP Service Corp","common_market_name","[]","American Electric Power Company, Inc.","RF","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","other","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-036"",""NCR04006"",""NCR11401"",""NCR12527"",""NCR13230""]","[""NCR-SEED-036"",""NCR04006"",""NCR11401"",""NCR12527"",""NCR13230""]"
"53","NCR00658","geocoded","published",,"Evergy, Inc.","Evergy","Evergy","Evergy","Evergy","major",,,,"Evergy","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","IOU","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-048""]","[""NCR-SEED-048""]"
"54","NCR05244","geocoded","published",,"Modesto Irrigation District","MID","MID","Modesto Irrigation District","Modesto Irrigation District","normal",,,,"MID","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]",,"19","[""duplicate_label"",""nearby_label_collision""]","[""NCR05234""]","[""NCR05234""]"
"55","NCR01018","geocoded","published",,"Nebraska Public Power District","NPPD","NPPD","Nebraska Public Power District","Nebraska Public Power District","major",,,,"NPPD","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","municipal","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-049""]","[""NCR-SEED-049""]"
"56","NCR01130","geocoded","published",,"Oklahoma Gas And Electric Co.","OG&E","OG&E","Oklahoma Gas and Electric","Oklahoma Gas & Electric","major",,,,"OG&E","common_market_name","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","IOU","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-047""]","[""NCR-SEED-047""]"
"57","NCR00860","geocoded","published",,"Omaha Public Power District","OPPD","OPPD","Omaha Public Power District","Omaha Public Power District","major",,,,"OPPD","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","municipal","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-045""]","[""NCR-SEED-045""]"
"58","NCR05299","geocoded","published",,"Pacific Gas and Electric Company","PG&E","PG&E","Pacific Gas and Electric","Pacific Gas and Electric Company","major",,,,"PG&E","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]",,"19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-008""]","[""NCR-SEED-008""]"
"59","NCR05377","geocoded","published",,"San Diego Gas & Electric","SDG&E","SDG&E","San Diego Gas & Electric","San Diego Gas & Electric Company","major",,,,"SDG&E","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]",,"19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-010""]","[""NCR-SEED-010""]"
"60","NCR05398","geocoded","published",,"Southern California Edison Company","SCE","SCE","Southern California Edison","Southern California Edison Company","major",,,,"SCE","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]",,"19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-009""]","[""NCR-SEED-009""]"
"61","NCR01145","geocoded","published",,"Southwestern Public Service Co. (Xcel Energy)","SPS","SPS","Xcel Energy","Xcel Energy","major",,,,"SPS","sec_filing","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","IOU","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-046""]","[""NCR-SEED-046""]"
"62","NCR01148","geocoded","published",,"Sunflower Electric Power Corporation","SNFLWR","Sunflower","Sunflower Electric","Sunflower Electric Power Corporation","major",,,,"Sunflower","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","cooperative","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-059"",""NCR11702"",""NCR12266"",""NCR12352""]","[""NCR-SEED-059""]"
"63","NCR-SEED-055","geocoded","published",,"Western Area Power Administration","WAPA","WAPA","Western Area Power Administration","Western Area Power Administration","major",,,,"WAPA","common_market_name","[]",,"WECC","[""TO"",""TOP"",""TSP"",""TP"",""GOP""]","federal","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR01036"",""NCR05464"",""SUP-virgin-islands-water-and-power-authority""]","[""NCR05464""]"
"64","NCR04037","geocoded","published",,"CPS Energy","CPS","CPS","CPS Energy","CPS Energy","major",,,,"CPS Energy","official_website","[]",,"Texas RE","[""DP"",""GO"",""GOP"",""TO"",""TOP"",""TP""]",,"17","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-051"",""SUP-cps-energy""]","[""NCR-SEED-051"",""SUP-cps-energy""]"
"65","NCR04049","geocoded","published",,"Denton Municipal Electric","DME","DME","Denton Municipal Electric","Denton Municipal Electric","normal",,,,"DME","name_initialism","[]",,"Texas RE","[""DP"",""GO"",""GOP"",""TO"",""TOP"",""TP""]",,"17","[""duplicate_label"",""nearby_label_collision""]","[""SUP-denton-municipal-electric""]","[""SUP-denton-municipal-electric""]"
"66","NCR05126","geocoded","published",,"Deseret Generation & Transmission Co-operative","Deseret","Deseret","Deseret G&T","Deseret Generation & Transmission","major",,,,"Deseret Power","official_website","[]",,"WECC","[""GO"",""GOP"",""RP"",""TO"",""TP"",""TSP""]",,"17","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-060""]","[""NCR-SEED-060""]"
"67","NCR05335","geocoded","published",,"Public Utility District No. 1 of Snohomish County","SnoPUD","SnoPUD","Snohomish County PUD","Snohomish County PUD No. 1","normal",,,,"SnoPUD","official_website","[]",,"WECC","[""DP"",""GO"",""GOP"",""TO"",""TOP"",""TP""]",,"17","[""duplicate_label"",""nearby_label_collision""]","[""SUP-snohomish-county-public-utility-district""]","[""SUP-snohomish-county-public-utility-district""]"
"68","NCR10102","geocoded","published",,"Tri-State Generation And Transmission Association Inc. - Transmission","TS","Tri-State","Tri-State Transmission","Tri-State Generation and Transmission","normal",,,,"Tri-State","official_website","[]",,"MRO","[""TO"",""TOP"",""TP"",""TSP""]","cooperative","17","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-056"",""NCR10030""]","[""NCR-SEED-056"",""NCR10030""]"
"69","NCR00740","geocoded","published",,"Consumers Energy Company","CNSMRS","Consumers","Consumers","Consumers Energy Company","major",,,,"Consumers","common_market_name","[]",,"RF","[""BA"",""DP"",""GO"",""GOP"",""RP""]",,"15","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-035""]","[""NCR-SEED-035""]"
"70","NCR00753","geocoded","published",,"DTE Electric Company","DTE","DTE","DTE Electric","DTE Electric Company","major",,,,"DTE","common_market_name","[]",,"RF","[""BA"",""DP"",""GO"",""GOP"",""RP""]",,"15","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-034"",""NCR12192""]","[""NCR-SEED-034"",""NCR12192""]"
"71","NCR04015","geocoded","published",,"Brazos Electric Power Co Op, Inc.","Brazos","Brazos","Brazos Electric","Brazos Electric Power Cooperative","normal",,,,"Brazos Electric","official_website","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""NCR01186"",""NCR10210""]","[""NCR01186""]"
"72","NCR04029","geocoded","published",,"City of Austin dba Austin Energy","Austin","Austin","Austin Energy","Austin Energy","major",,,,"Austin Energy","official_website","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""SUP-austin-energy""]","[""SUP-austin-energy""]"
"73","NCR04033","geocoded","published",,"City of Garland","GP&L","GP&L","Garland Power & Light","Garland Power & Light","normal",,,,"GP&L","official_website","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""NCR04034"",""NCR04035""]","[""NCR04034"",""NCR04035""]"
"74","NCR04109","geocoded","published",,"Oncor Electric Delivery Company LLC","Oncor","Oncor","Oncor Electric Delivery","Oncor Electric Delivery","major",,,,"Oncor","common_market_name","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-050""]","[""NCR-SEED-050""]"
"75","NCR04111","geocoded","published",,"Pedernales Elec Co Op Inc.","PEC","PEC","Pedernales Electric Cooperative","Pedernales Electric Cooperative","normal",,,,"PEC","official_website","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""NCR10347"",""SUP-pedernales-electric-cooperative""]","[""SUP-pedernales-electric-cooperative""]"
"76","NCR04113","geocoded","published",,"Rayburn Country Electric Cooperative, Inc.","Rayburn","Rayburn","Rayburn Country Electric Cooperative","Rayburn Country Electric Cooperative","normal",,,,"Rayburn","official_website","[]",,"Texas RE","[""DP"",""TO"",""TOP"",""TP""]",,"13","[""duplicate_label"",""nearby_label_collision""]","[""NCR12339""]","[""NCR12339""]"
